exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
190904_01-02_600components-0032	21	0.0007609645	-7.52667633482739E-10	-0.0064374349	0.26166475	1	639.6226269781	817.2572475178	1014.2774789917	1227.8742443873	-0.6070474879	35	773.1067617592	2.806640625	1.067977787	0.7142857143	1	1293.7714285714	1024.7428571429	0.0036303403	0.3510704096	6.4838980244	6.9246590633	0.9947220417	-4.7012752181	6.6041169861	2.4958639991	2	5	5	2	1.1330251508	0.0007374697	4.2044820763	1.2124633135	0.7955179237	0	1				6.95
190904_01-02_600components-0033	21	0.0007609662	-1.740046819161E-09	-0.0157535834	0.0177052971	2	662.6957985732	816.4570867972	1139.307407967	823.1593627967	0.1599960687	563	965.7492762369	5.6328125	4.3039068432	0.5198522622	0.6283482143	827.6341030195	1144.5985790409	0.0058325827	0.9726329496	14.1942486198	61.0907237686	0.9802550437	-6.4426526455	8.7974415783	2.4800435744	2	5	5	1	1.0661785117	0.0014694419	4.2044820763	1.1183531257	0.7955179237	1	0		1		6.95
190904_01-02_600components-0034	21	0.0007609651	-7.19819354723728E-11	-0.0218167616	0.0288266777	4	662.6223130684	772.4215639551	956.6198158874	469.4777650221	-0.4210520609	97	935.0313235302	1.0771484375	1.324286131	0.7348484848	0.5418994413	387.2989690722	962.0309278351	0.0011519918	0.6555821983	9.8057935645	12.9856764206	0.9606715508	-10.6562029719	9.8858845856	2.4678711153	1	0.0138106793	1.767766953	13	2.915609004	1.0945759097	0.0048828125	7.3393737638	0.0089278668	0	1				6.95
190904_01-02_600components-0035	21	0.0007609658	-2.50424573648716E-10	-0.0305229001	0.0231294386	1	604.1026898126	805.7294217534	473.1039454066	1272.4083967796	-1.0303768265	25	960.3275631014	0.3090820313	1.0850766352	0.6944444444	1	1263.6	255.44	0.0003218506	0.3881555065	5.4258639865	5.8874782378	0.9675726277	-8.2820972398	8.7073714768	2.1676414839	2	5	5	1	1.2637906498	0.0094822135	4.2044820763	1.3555995443	0.7955179237	0	1				6.95
190904_01-02_600components-0036	21	0.0007609643	-3.3106536798182E-10	-0.0450703478	0.0730054425	15	691.898520068	843.2336482185	1305.99911962	955.9205169003	1.0751662401	154	602.0338201437	6.19140625	21.7047835719	0.0950617284	0.8148148148	1011.4350649351	1395.0649350649	0.0102841502	0.998938085	3.1713050985	68.8324908025	0.8890554538	-2.1647033415	36.3379493825	2.1474320395	2	4.585020216	4.2044820763	6	1.0407932731	0.0151008223	2.9730177875	1.0673329316	1.6120024285	1	0			1	6.95
190904_01-02_600components-0037	21	0.0007609646	-1.20815691903888E-10	-0.0108577932	0.0145165	1	621.5329595147	815.7498117035	280.9860442529	727.963950212	-1.1708081432	1355	898.8757053781	14.109375	3.9190218874	0.4080096357	1	727.2044280443	278.3542435424	0.0156966919	0.9668973372	22.0311531329	86.3405713327	0.9694395808	-5.5100574158	8.8261079482	2.117537649	2	5	5	2	1.2807324011	0.0121997314	3.8555270635	1.5064018864	1.1444729365	1	0		1		6.95
190904_01-02_600components-0038	21	0.0007609654	1.32081094806719E-09	-0.0084869714	0.009333486	2	624.5618062108	863.4566783868	493.3208728843	1608.0158144404	-0.067802212	2271	929.7881356611	15.4765625	4.5018275991	0.5594974132	0.9964896885	1607.9660942316	496.64332893	0.016645257	0.9750166006	25.8245556927	116.2576975519	0.9710817735	-14.6841936296	9.3834101572	2.1171503112	1	0.0063322244	4.2044820763	4	1.5880010635	0.153055017	0.0048828125	1.7738422295	0.0014494119	0	1				6.95
190904_01-02_600components-0039	21	0.0007609658	2.4530383282612E-09	-0.0100108622	0.0077826901	10	634.2470986223	771.5279340007	639.3846006174	117.4615727706	0.345001261	861	956.6128303477	4.8359375	1.8879020235	0.5049853372	0.9566666667	122.4320557491	640.8803716609	0.0050552714	0.848192247	25.5779818009	48.2887235995	0.9679650446	-10.9171046989	8.9767246903	2.0324031617	2	0.01953125	4.2044820763	5	1.1637904942	0.082621652	0.0138106793	1.272420774	0.0057205707	0	1				6.95
190904_01-02_600components-0040	21	0.0007609657	-0.000000001	-0.0133292496	0.035778188	0	608.8049424448	850.5830076256	979.6534690993	1283.1940726598														0.952377096	-8.0488784603	5.7184267823	2.0121086781	2	5	5	0	1.264513386	0.0082854822	4.585020216	1.3680309952	0.414979784	0	1				6.95
190904_01-02_600components-0041	21	0.0007609656	0.000000001	-0.0054148947	0.0082236545	7	631.7667626964	775.7622679544	668.4881730499	330.284533968	-0.5657858952	959	974.1787264789	4.6171875	2.87285674	0.1516445288	0.9485657765	324.4890510949	659.4442127216	0.0047395692	0.937462762	35.965847702	103.3247279787	0.9717913728	-8.8818376765	6.2845072799	2.0019363461	2	0.7432544469	2.292510108	13	1.1239100887	0.1687398273	0.2627801298	1.1830354225	0.4804743171	0	1				6.95
