exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	mass.perc	region.majmin.ratio	region.extent	region.orient	mass.total	region.majaxis	threshold.area	region.centroid.0	region.centroid.1	region.minaxis	mass.region	region.eccentricity	threshold.perc	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.rangesz	freq.maxsnr	freq.maxsnr.freq	freq.range.low	freq.range.high	freq.integrate	freq.avgsnr	length	artifact	signal	noise	hemodynamic	movement	res
190329_02-03_600components-0045	21	0.0007518661	-2.87365882604978E-09	-0.0063377911	0.0091123469	4	0.0267120568	2.3107006776	0.5754961173	-0.0974095179	889.6965585788	116.1377311326	4002	1116.1021989006	727.1066966517	50.2608287869	23.765625	0.9015047703	0.9962658701	759.3895608034	768.5451095071	1113.7242525643	727.3309379585	0.9899050795	-6.2565769665	14.0497602584	2.7612712442	2	0.7955179237	1.0595786385	5	4.2044820763	5	0.0005464191	1.044765748	1	0	1				6.6
190329_02-03_600components-0046	21	0.0007518679	4.4339548646096E-09	-0.005858316	0.0374190029	1	0.0196126447	1.0066361437	0.812283737	1.3167523575	808.6301079028	34.7648100506	939	1261.0862619808	853.731629393	34.5356266702	15.859375	0.1146356467	1	730.7389428553	771.5978557623	1260.5864155395	852.7585270868	0.9919402545	-3.0698897411	19.2350647358	2.7316755722	0									1	0			1	6.6
190329_02-03_600components-0047	21	0.0007518696	-2.8521830828393E-11	-0.0110614483	0.0172619904	1	0.0141289934	1.846800039	0.6918202765	0.1002135488	904.6115065291	54.2090160249	1201	1293.3563696919	738.8959200666	29.3529428641	12.78125	0.8407154743	1	731.0006599454	766.3870233779	1293.6829483722	738.5971198639	0.9890528746	-3.9352865849	16.9798519445	2.724515428	1	1.6120024285	1.0756486505	4.2044820763	2.9730177875	4.585020216	0.0013030012	1.0423750582	6	1	0			1	6.6
190329_02-03_600components-0048	21	0.0007518657	-1.06884136591122E-10	-0.0056966221	0.015154237	18	0.0286700862	1.2989896778	0.2348440546	-0.6835690578	855.0942198602	136.8028559721	4819	581.0385972193	244.0585183648	105.3148137462	24.515625	0.6382501245	0.8876404494	680.2415141301	672.8013954106	581.7806606897	235.7400522371	0.9901989231	-16.959823406	8.7945350206	2.7155525601	1	0.6580585303	2.1215543819	1.3631346658	0.0851959166	0.7432544469	1.6645098948	1.6560428431	26	0	1				6.6
190329_02-03_600components-0049	21	0.0007518665	1.14344113020372E-09	-0.0039844976	0.0154253341	5	0.0459373228	3.0478723382	0.1826198493	0.5392002975	836.0576470952	219.8837821507	6834	514.138864501	1262.2167105648	72.1433701136	38.40625	0.944643784	0.9937472735	662.8503979175	878.4539227563	513.009957166	1263.3156139767	0.9923910156	-14.0398893444	7.0434129619	2.7155191065	1	0.4403643429	2.2484951168	1.3631346658	0.0851959166	0.5255602595	1.2824141743	1.6899955822	22	0	1				6.6
190329_02-03_600components-0050	21	0.0007518659	-2.28420499453691E-09	-0.0061508235	0.0297093542	1	0.0431163792	2.4826671869	0.4860706861	0.6433447763	702.3143080978	89.6397981144	2338	1334.9294268606	1012.5551753636	36.1062483885	30.28125	0.9152912717	1	751.6043889365	782.7973041464	1333.7422634976	1010.7031521008	0.9937017578	-5.7054958371	12.5114305719	2.6893724387	1	0	1.0041203885	5	0.1703918332	0.1703918332	0.0002690223	1.0041203885	1	1	0			1	6.6
190329_02-03_600components-0051	21	0.0007518665	1.62681310728352E-09	-0.0061099271	0.0095263154	29	0.015716766	4.5610057257	0.3729115977	0.1195700923	863.4290630904	143.8420263938	2299	1365.2222705524	472.1365811222	31.5373483489	13.5703125	0.9756687379	0.8204853676	777.9198604029	747.8831133796	1360.5874718572	479.8438301021	0.9914744003	-7.3457145833	12.8363099702	2.6568614074	2	0.045593322	1.0159048182	4.585020216	0.2409704415	0.2865637635	0.0014709673	1.0101648988	3	0	1				6.6
190329_02-03_600components-0052	21	0.0007518657	1.06134237141781E-09	-0.0039728511	0.0137207473	8	0.053643139	3.0002209386	0.2021493741	-0.3994990205	834.216655539	243.6234488927	8220	417.7947688564	176.5293187348	81.2018360916	44.75	0.9428177199	0.9797377831	649.8260144896	675.0826945994	415.5732113159	178.0746239138	0.992093891	-13.5346227776	6.6384146761	2.6254286514	1	0.3967449663	2.0423990854	2.1022410381	0.0851959166	0.4819408829	1.2380533641	1.6999538888	21	0	1				6.6
190329_02-03_600components-0053	21	0.0007518661	-3.14455626547926E-10	-0.0050001011	0.007327537	17	0.0258421358	1.9748478102	0.3643023643	0.6415746722	841.0440660693	127.5378734898	4376	961.4798903108	264.2470292505	64.5811149759	21.734375	0.8623174086	0.9318568995	772.8924182478	720.7032042656	959.7653390997	265.9831621488	0.9897163257	-11.7991185172	10.8047580417	2.5303115602	1	0.8625661757	2.6513216441	1.0511205191	0.1013155902	0.9638817659	1.9345838234	1.9026894007	27	0	1				6.6
190329_02-03_600components-0054	21	0.0007518686	5.31085790598647E-09	-0.0085190966	0.0097204782	2	0.0111156784	1.2516510934	0.5078347578	1.5649493408	907.3613970617	53.8515843897	1426	760.6584852735	752.5638148668	43.0244376181	10.0859375	0.6014045026	0.9182227946	708.7270820282	773.391876967	759.4734660388	758.5217990886	0.9931435052	-4.992003588	15.8335907828	2.4933380516	0									1	0		1		6.6
