exp_ic	age	freq.avgsnr	freq.integrate	freq.maxsnr	freq.maxsnr.freq	freq.range.high	freq.range.low	freq.rangesz	length	mass.perc	mass.region	mass.total	region.centroid.0	region.centroid.1	region.eccentricity	region.extent	region.majaxis	region.majmin.ratio	region.minaxis	region.orient	signal	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	spatial.avg	spatial.max	spatial.min	spatial.n.domains	spatial.std	temporal.autocorr	temporal.max	temporal.min	temporal.n.freq	temporal.std	threshold.area	threshold.perc	anml	artifact	hemodynamic	movement
190506_03-04-0288	21	1.0696612996	0.0889011292	1.1165101613	3.5355339059	0.7432544469	0.4052623608	0.337992086	8	0.0153532987	14.71875	958.6702046758	1422	858.8110465116	0.7446754265	0.7384615385	62.9948967215	1.4982916885	42.0444811953	-0.0885487181	1	705.3911762688	784.9079243601	1420.9614379091	830.4576206762	7.49354572543775E-09	0.0135788802	-0.005345058	2	0.0007516437	0.9466837982	7.6465345324	-8.0890159006	1	1.5873686728	2064	0.8282504013	4	0		
190506_03-04-0289	21																				0	685.9750460737	795.0413492872	957.7324712119	843.7351004814	1.63132327627614E-09	0.0347238984	-0.0257177936	0	0.0007516434	0.9696373789	21.3513369085	-6.50826236	0	1.5638982383			4	1		1
190506_03-04-0290	21	5.0718372957	1.9079255295	9.9266428792	2.1022410381	0.0126644488	0.0048828125	0.0077816363	12	0.0331852056	27.59375	831.5075803122	1250.7379367721	866.0723793677	0.9907331993	0.2329457364	267.0238537716	7.3625551026	36.2678241522	-1.4476701941	0	704.3564242194	792.4488544016	1251.0181256678	861.5326494089	-5.2562292560456E-09	0.0202756555	-0.0075142779	2	0.0007516436	0.9574002793	11.8741662069	-4.539213133	2	1.5279506569	2404	0.9962702031	4	1	1	
190506_03-04-0291	21	1.1698021643	0.1040869051	1.2614383489	4.585020216	0.0358204704	0.0253288976	0.0104915729	5	0.00952327	9.2265625	968.8439450206	1272.9107662464	816.6217264791	0.813683653	0.6166267943	48.816778232	1.7202586501	28.3775804467	-0.5729137101	0	688.4701553688	789.9230574549	1273.1203785211	815.8133323439	-3.48825931451658E-09	0.0150857238	-0.0059662842	1	0.0007516435	0.9610363778	12.4431770876	-3.1855237225	2	1.4973368115	1031	1	4	1	1	
190506_03-04-0292	21	1.2192226809	0.7148468168	1.4633149002	2.292510108	2.1022410381	0.3125	1.7897410381	23	0.0389514737	31.328125	804.2860012288	404.0244541485	1458.5784570597	0.6729908823	0.7592838196	77.6574698918	1.3519893857	57.4394079654	-0.14035591	1	631.0710553164	843.9475819905	404.3338661069	1458.5454322714	-8.82733020228284E-11	0.0141987126	-0.0063236593	1	0.0007516436	0.9304350504	7.2368905106	-3.8284382568	1	1.489624232	3435	1	4	0		
190506_03-04-0293	21	1.7759356799	1.5705697763	2.7576919681	1.9277635318	0.0851959166	0.0232267015	0.0619692151	16												0	639.5363306045	797.7440876698	118.1218215079	910.5382797775	8.06914835420991E-10	0.019710892	-0.0169789514	0	0.0007516437	0.9549367309	12.4173929247	-2.7359274253	3	1.4879966367			4	1		1
190506_03-04-0294	21	1.5004071704	0.562492869	1.8487112377	3.5355339059	0.0464534029	0.0212989792	0.0251544238	10	0.0266712325	20.828125	780.9209802357	1147.3396065013	750.6458511548	0.8728119982	0.7455357143	55.9486945114	2.0489428087	27.306127957	-0.063527164	0	685.3648640174	783.1174692085	1148.2977358009	750.4161552296	-4.40997681481014E-09	0.0381541525	-0.0081935067	1	0.0007516436	0.9618977407	9.7511180201	-3.3488466119	3	1.4703208109	1169	1	4	1		1
190506_03-04-0295	21	1.0327192963	0.0453742058	1.0515155903	3.5355339059	0.9638817659	0.5255602595	0.4383215063	8	0.0103267265	9.59375	929.0214105732	940.4775119617	644.0459330144	0.9533451052	0.1242568371	140.6521684997	3.3125458912	42.4604437548	1.3081085229	0	702.2521503441	776.6676569877	946.2041771238	688.7017288587	2.36480291657846E-09	0.0193173233	-0.005725463	13	0.000751644	0.9278462604	5.056994845	-4.836417328	3	1.4485546437	1045	0.7775297619	4	1	1	
190506_03-04-0296	21	1.0574745125	0.044551744	1.0945478508	3.5355339059	2.7262693317	1.4865088938	1.2397604379	8	0.0382007824	34.5	903.1228646711	717.5733037157	1160.2574717286	0.6385634309	0.6813428729	92.1658284917	1.2994283132	70.9279823693	0.4179859489	1	672.7729773966	810.2539615936	717.795386739	1160.504220757	1.37030062217063E-09	0.0127542218	-0.0047835441	1	0.0007516438	0.9061336607	9.5817620823	-4.5427152965	4	1.4033717731	4952	1	4	0		
190506_03-04-0297	21	1.3096532764	0.2628339628	1.4787859007	3.2420988866	0.078125	0.0390625	0.0390625	9	0.0193467383	18.046875	932.8122786517	1275.2103884767	528.2636403317	0.9527323099	0.4632962588	108.4498373677	3.2915196653	32.9482574604	-1.3500206421	0	706.8593327006	775.1396143737	1273.0522291467	528.5207921921	1.80085246145093E-10	0.0151547647	-0.0060847331	1	0.0007516435	0.9289315037	6.7511594202	-7.6206975066	2	1.3752033763	2291	1	4	1		1
